"sub.id" "comm.id" "type.id" "diff"
"1" "xi7403" "FrontoParietal" "load" -0.0414702025126144
"2" "xi7403" "FrontoParietal" "picture" -0.0935332471475365
"3" "xi7403" "Visual" "load" -0.114928797127282
"4" "xi7403" "Visual" "picture" 0.245768401329019
"5" "th3865" "FrontoParietal" "load" 0.287284525714372
"6" "th3865" "FrontoParietal" "picture" -0.0382654279866853
"7" "th3865" "Visual" "load" -0.0519217287547398
"8" "th3865" "Visual" "picture" 0.290684184414793
"9" "cr148" "FrontoParietal" "load" 0.190243333585025
"10" "cr148" "FrontoParietal" "picture" -0.0715754510769496
"11" "cr148" "Visual" "load" -0.233953764597019
"12" "cr148" "Visual" "picture" 0.494794918200031
"13" "kk2358" "FrontoParietal" "load" -0.132339096164016
"14" "kk2358" "FrontoParietal" "picture" 0.0571297983421745
"15" "kk2358" "Visual" "load" -0.164672968021229
"16" "kk2358" "Visual" "picture" 0.359621737121258
"17" "vp5697" "FrontoParietal" "load" 0.0510487510115692
"18" "vp5697" "FrontoParietal" "picture" -0.0808702500809945
"19" "vp5697" "Visual" "load" -0.157754461794179
"20" "vp5697" "Visual" "picture" 0.407291625822349
"21" "fz7166" "FrontoParietal" "load" 0.348060650512476
"22" "fz7166" "FrontoParietal" "picture" -0.168059548647128
"23" "fz7166" "Visual" "load" -0.150600753397745
"24" "fz7166" "Visual" "picture" 0.366245699116356
"25" "vj9648" "FrontoParietal" "load" 0.111191058348201
"26" "vj9648" "FrontoParietal" "picture" -0.0161484559792328
"27" "vj9648" "Visual" "load" -0.112734906951586
"28" "vj9648" "Visual" "picture" 0.160503644856863
"29" "mn3829" "FrontoParietal" "load" 0.103023571563531
"30" "mn3829" "FrontoParietal" "picture" 0.00787682192953432
"31" "mn3829" "Visual" "load" -0.0437876715131675
"32" "mn3829" "Visual" "picture" 0.239181941085769
"33" "ex8507" "FrontoParietal" "load" 0.301311072189718
"34" "ex8507" "FrontoParietal" "picture" -0.207916989939857
"35" "ex8507" "Visual" "load" -0.0442813205809189
"36" "ex8507" "Visual" "picture" 0.127872673802617
"37" "ba1212" "FrontoParietal" "load" 0.052254109767904
"38" "ba1212" "FrontoParietal" "picture" 0.0458260626075119
"39" "ba1212" "Visual" "load" -0.124605679672711
"40" "ba1212" "Visual" "picture" 0.1300519378986
"41" "xl4234" "FrontoParietal" "load" 0.199475797445367
"42" "xl4234" "FrontoParietal" "picture" -0.0782635843764133
"43" "xl4234" "Visual" "load" -0.0960614292490443
"44" "xl4234" "Visual" "picture" 0.326654687733029
"45" "pa1649" "FrontoParietal" "load" 0.334447605764647
"46" "pa1649" "FrontoParietal" "picture" -0.167006422682644
"47" "pa1649" "Visual" "load" -0.276015795310594
"48" "pa1649" "Visual" "picture" 0.59543151980708
"49" "zq5666" "FrontoParietal" "load" 0.135915263644984
"50" "zq5666" "FrontoParietal" "picture" -0.133116124167519
"51" "zq5666" "Visual" "load" -0.083882205263516
"52" "zq5666" "Visual" "picture" 0.198219876206463
"53" "wv5494" "FrontoParietal" "load" -0.0262512470184282
"54" "wv5494" "FrontoParietal" "picture" -0.0844534001897097
"55" "wv5494" "Visual" "load" -0.116307030315852
"56" "wv5494" "Visual" "picture" 0.220762145923512
"57" "jb5735" "FrontoParietal" "load" 0.215940543858593
"58" "jb5735" "FrontoParietal" "picture" -0.175439511411228
"59" "jb5735" "Visual" "load" -0.120436222826564
"60" "jb5735" "Visual" "picture" 0.312521978991744
"61" "di3276" "FrontoParietal" "load" 0.304108253399779
"62" "di3276" "FrontoParietal" "picture" -0.221311388561399
"63" "di3276" "Visual" "load" -0.0814863597329319
"64" "di3276" "Visual" "picture" 0.146261309096589
"65" "yc3953" "FrontoParietal" "load" -0.00602123239350438
"66" "yc3953" "FrontoParietal" "picture" -0.148569430007501
"67" "yc3953" "Visual" "load" -0.144866883383314
"68" "yc3953" "Visual" "picture" 0.285166313741981
"69" "sm8332" "FrontoParietal" "load" 0.0588692305601869
"70" "sm8332" "FrontoParietal" "picture" -0.152736385493331
"71" "sm8332" "Visual" "load" -0.194893504485906
"72" "sm8332" "Visual" "picture" 0.326836466813583
"73" "cx4463" "FrontoParietal" "load" 0.087264634568696
"74" "cx4463" "FrontoParietal" "picture" -0.0854488368988043
"75" "cx4463" "Visual" "load" -0.161911847906468
"76" "cx4463" "Visual" "picture" 0.353130379754713
"77" "gk193" "FrontoParietal" "load" 0.23608366969013
"78" "gk193" "FrontoParietal" "picture" -0.104785497030078
"79" "gk193" "Visual" "load" -0.295813837244778
"80" "gk193" "Visual" "picture" 0.614473340861417
"81" "ok9336" "FrontoParietal" "load" 0.0185300020840664
"82" "ok9336" "FrontoParietal" "picture" -0.0596214464096985
"83" "ok9336" "Visual" "load" -0.231964475674808
"84" "ok9336" "Visual" "picture" 0.539454886555045
"85" "hi4" "FrontoParietal" "load" 0.130866161427157
"86" "hi4" "FrontoParietal" "picture" -0.0725196432650616
