"sub.id" "comm.id" "type.id" "diff"
"56" "fe2287" "Visual" "picture" 0.42155770697697
"57" "ou5515" "FrontoParietal" "load" 0.377322890105126
"58" "ou5515" "FrontoParietal" "picture" -0.162481774577565
"59" "ou5515" "Visual" "load" -0.115986649063849
"60" "ou5515" "Visual" "picture" 0.341993265100025
"61" "qa3051" "FrontoParietal" "load" 0.205890458942055
"62" "qa3051" "FrontoParietal" "picture" -0.062458699346167
"63" "qa3051" "Visual" "load" -0.136819675059576
"64" "qa3051" "Visual" "picture" 0.344918469681652
"65" "yj734" "FrontoParietal" "load" 0.0427302871040712
"66" "yj734" "FrontoParietal" "picture" 0.111277777167543
"67" "yj734" "Visual" "load" -0.227031734368194
"68" "yj734" "Visual" "picture" 0.503829625827504
"69" "im7779" "FrontoParietal" "load" 0.0223374133836849
"70" "im7779" "FrontoParietal" "picture" 0.0103906484413183
"71" "im7779" "Visual" "load" -0.262664862473772
"72" "im7779" "Visual" "picture" 0.54387171252017
"73" "lg2253" "FrontoParietal" "load" -0.00798707054670023
"74" "lg2253" "FrontoParietal" "picture" -0.0290777935081675
"75" "lg2253" "Visual" "load" -0.100625063346793
"76" "lg2253" "Visual" "picture" 0.141236971561654
"77" "gj911" "FrontoParietal" "load" 0.223630497069334
"78" "gj911" "FrontoParietal" "picture" -0.287912037094396
"79" "gj911" "Visual" "load" -0.136732925062077
"80" "gj911" "Visual" "picture" 0.177494240801873
"81" "lo8118" "FrontoParietal" "load" 0.0937710331428951
"82" "lo8118" "FrontoParietal" "picture" -0.117521461626338
"83" "lo8118" "Visual" "load" -0.129550696550067
"84" "lo8118" "Visual" "picture" 0.3426403977714
"85" "tj3064" "FrontoParietal" "load" 0.242509570449103
"86" "tj3064" "FrontoParietal" "picture" -0.065517202988013
"87" "tj3064" "Visual" "load" -0.108383915428135
"88" "tj3064" "Visual" "picture" 0.332644017187476
"89" "ld7855" "FrontoParietal" "load" 0.138967086794014
"90" "ld7855" "FrontoParietal" "picture" -0.179039080880873
"91" "ld7855" "Visual" "load" -0.0115946318950599
"92" "ld7855" "Visual" "picture" 0.0662213912295823
"93" "xq2137" "FrontoParietal" "load" 0.068606412606922
"94" "xq2137" "FrontoParietal" "picture" -0.0369746333739246
"95" "xq2137" "Visual" "load" -0.137066247505703
"96" "xq2137" "Visual" "picture" 0.228579622555333
"97" "br8986" "FrontoParietal" "load" 0.019098108637759
"98" "br8986" "FrontoParietal" "picture" -0.0527179367549637
"99" "br8986" "Visual" "load" -0.104286787181772
"100" "br8986" "Visual" "picture" 0.0903183961465834
"101" "gm7412" "FrontoParietal" "load" 0.273854121782449
"102" "gm7412" "FrontoParietal" "picture" -0.1316624296604
"103" "gm7412" "Visual" "load" -0.299358326955941
"104" "gm7412" "Visual" "picture" 0.611169838009136
"105" "mw63" "FrontoParietal" "load" 0.0938595661012537
"106" "mw63" "FrontoParietal" "picture" -0.0844713385556676
"107" "mw63" "Visual" "load" -0.213610926232765
"108" "mw63" "Visual" "picture" 0.391566638191106
"109" "do8174" "FrontoParietal" "load" 0.0200302435807435
"110" "do8174" "FrontoParietal" "picture" -0.087347836539544
"111" "do8174" "Visual" "load" -0.129445165036936
"112" "do8174" "Visual" "picture" 0.113046768479917
"113" "mr6988" "FrontoParietal" "load" 0.344073692790609
"114" "mr6988" "FrontoParietal" "picture" -0.189622865723253
"115" "mr6988" "Visual" "load" -0.185522315610728
"116" "mr6988" "Visual" "picture" 0.442765972906894
"117" "pr2765" "FrontoParietal" "load" 0.168037182357833
"118" "pr2765" "FrontoParietal" "picture" -0.143501807221586
"119" "pr2765" "Visual" "load" 0.00950609132582336
"120" "pr2765" "Visual" "picture" 0.17729350709154
"121" "cj9450" "FrontoParietal" "load" 0.198096778992518
"122" "cj9450" "FrontoParietal" "picture" -0.0611198454588492
"123" "cj9450" "Visual" "load" -0.188935712734232
"124" "cj9450" "Visual" "picture" 0.468121680377692
"125" "qg6812" "FrontoParietal" "load" 0.187650457581573
"126" "qg6812" "FrontoParietal" "picture" -0.0659261573579287
"127" "qg6812" "Visual" "load" -0.0661667810564279
"128" "qg6812" "Visual" "picture" 0.277176138788117
"129" "ai7564" "FrontoParietal" "load" 0.307684802594597
"130" "ai7564" "FrontoParietal" "picture" -0.153307511623582
"131" "ai7564" "Visual" "load" -0.123560537211032
"132" "ai7564" "Visual" "picture" 0.287774199212943
