"sub.id" "group.id" "X0BK_FACE" "X0BK_PLACE" "X2BK_FACE" "X2BK_PLACE"
"1" "up8860" "MZ" 4.48630551956425 18.8409267136994 39.1550645196532 47.2455184713206
"2" "ei1052" "MZ" 32.3117122770831 46.1117035792841 25.2910681201467 45.363556849711
"3" "xg2390" "MZ" 65.7974123529569 101.629457244286 101.696788890618 89.8581825945309
"4" "xa9091" "MZ" 34.0923075607381 16.0563792616719 63.7836562787906 76.8790972071587
"5" "sb5631" "MZ" 40.7577670616719 32.419234723566 74.365196647799 74.5545423635838
"6" "yj4297" "MZ" -0.602813118221432 15.5491590100934 35.8879774711828 52.9444357975545
"7" "hs7790" "MZ" 39.0512530679858 59.8068196164962 111.092556145665 84.1332708890618
"8" "xf8217" "MZ" 22.6197108282081 29.4542687012183 45.5087428211205 69.3610161430858
"9" "zb7543" "MZ" 17.7244218384615 48.9882647350823 48.4941153861627 43.1558721929747
"10" "ny4028" "MZ" 12.595466861165 36.5901212582437 38.9416164157403 52.9474255944864
"11" "if340" "MZ" 28.0280603833615 5.14423810362828 32.2443760612717 44.5882429732325
"12" "ui8428" "MZ" 27.1176481066252 18.0706937822677 43.5146222178746 44.0656657491774
"13" "mt2271" "MZ" -15.3537458783993 1.65429018826145 18.7864551756114 16.332481834731
"14" "fe2287" "MZ" -0.893666467807915 20.7796341642952 22.6487684756336 20.355639689173
"15" "ou5515" "MZ" -9.04596832143175 0.892549171231658 34.3712971474433 38.0085014479769
"16" "qa3051" "MZ" 19.0574906241441 4.8191780729213 57.67567324739 51.3181093728324
"17" "yj734" "MZ" 23.8102730057803 19.6189872224989 32.7010431949755 41.8021000133837
"18" "im7779" "MZ" 19.2761208796799 3.00620909362383 22.4788842566029 46.175722118008
"19" "lg2253" "MZ" 27.1945025104491 40.0105234479769 54.2073070049355 8.15181515655847
"20" "gj911" "MZ" 18.2979433164518 21.0430803067586 23.7776477023566 16.3155367107159
"21" "lo8118" "MZ" 40.5542770276123 25.0884657120943 54.8050077884526 19.8097228383726
"22" "tj3064" "MZ" 16.2643661534237 -7.76272515333926 45.791741048048 33.7186574476212
"23" "ld7855" "MZ" -1.02477164824366 9.17579907109827 21.067750962072 31.959082462072
"24" "xq2137" "MZ" 4.70089148134727 34.5953066642063 -5.46077517362383 -9.89847252903513
"25" "br8986" "MZ" 18.5256946283682 11.7411416406225 33.4684296589151 4.0479596411783
"26" "gm7412" "MZ" 21.0852652093375 27.1148235102712 52.7330647317919 47.2515218843486
"27" "mw63" "MZ" 25.375557916096 28.8798071537128 47.8284965523344 65.5238720666963
"28" "do8174" "MZ" 47.5899063232548 17.9315655572566 59.0550775234771 84.9338509226767
"29" "mr6988" "MZ" 0.00438620515784799 -24.2466606064473 24.0162251068475 34.3858249315251
"30" "pr2765" "MZ" 15.8696341287683 3.74584701698533 30.7651722059582 44.7744371033793
"31" "cj9450" "MZ" 12.0852712651401 -4.79180925726545 37.2022185077812 43.7210917959982
"32" "qg6812" "MZ" -4.24467223792797 1.24400624039573 50.7267146516941 64.5047266467319
"33" "ai7564" "MZ" -0.104677164366385 5.5522189009751 47.5415459835927 45.6453669412628
"34" "hd2079" "MZ" 36.1951625104491 37.3838435231659 62.7813250377056 53.7614423143619
"35" "nr6957" "MZ" 30.3569611981503 -1.75151973997332 35.4513006294704 20.0343660221876
"36" "kg6220" "MZ" 16.0098234601156 -8.32220907558915 27.5676535999555 46.2940437417964
"37" "za7204" "MZ" 0.587464906091596 22.3694206348155 33.8867047705647 22.0334194326367
"38" "oc1318" "MZ" 77.7710930766563 41.5498121663406 61.2225228843931 63.5567261509115
"39" "ty7521" "MZ" -1.35398431323255 6.24873027941307 28.0483975855936 34.5631854918052
"40" "hk7512" "MZ" 15.6106745349933 33.6794185320587 8.1330798380169 16.6175464421076
"41" "fr3903" "MZ" -35.0753966327257 -7.75288378286172 89.5329435966652 -24.5132447572254
"42" "du6146" "MZ" 19.6544670288128 18.1390969161316 53.4983062979546 26.8138967491329
"43" "sb9036" "MZ" -0.240067378913295 -11.1270500476247 39.9046360265007 27.8850680735883
"44" "xj1636" "MZ" 1.64201548643842 24.5363382972877 36.9913185837706 36.4823251968964
"45" "hf1295" "MZ" 36.0434773059004 25.2543507311694 26.2573375597737 41.9993822974655
"46" "oh9470" "MZ" -17.0229854400178 -6.59028949884393 39.3657892015562 66.7754428566919
"47" "nn8253" "MZ" 56.5173992810138 16.8859195047577 105.690159089715 74.5381187245442
"48" "te8356" "MZ" 7.32226359666518 -0.780831542907959 86.2982088695865 64.4270766632726
"49" "bq457" "MZ" 19.9145997678435 23.0616738233437 33.2760395401067 28.7702724152957
"50" "lk7580" "MZ" 27.698485911205 23.1251961017208 44.1979961953313 52.0389546695954
"51" "rr7211" "MZ" 61.4792612983104 42.9714210068742 66.3404605059137 50.0403060370609
"52" "xp8514" "MZ" 4.95305057346821 -4.71896223352779 32.8248249165852 30.5255051333308
"53" "ex4669" "MZ" 0.39094259884393 -2.92039329253001 45.6675454414406 41.2727035684304
"54" "ga3285" "MZ" 44.3920116119609 51.7070497710983 69.1144686343264 79.6559785193419
"55" "oa5981" "MZ" 62.5448637638951 74.5999919237039 81.9656497544242 75.6602081449978
"56" "ud5547" "MZ" 12.6176305528679 24.9761774786572 20.9428983806581 41.7293626550236
"57" "ew2469" "MZ" 11.5482538627568 31.8460033621165 28.2623577314602 52.5066930854602
"58" "hi7640" "MZ" 50.6352964935527 0.701753437198755 43.5661001622944 44.5573574212539
