"0bkFace.0bkFace" "0bkFace.0bkPlace" "0bkFace.2bkFace" "0bkFace.2bkPlace" "0bkPlace.0bkFace" "0bkPlace.0bkPlace" "0bkPlace.2bkFace" "0bkPlace.2bkPlace" "2bkFace.0bkFace" "2bkFace.0bkPlace" "2bkFace.2bkFace" "2bkFace.2bkPlace" "2bkPlace.0bkFace" "2bkPlace.0bkPlace" "2bkPlace.2bkFace" "2bkPlace.2bkPlace"
"bb4934.zy9688" 0.463108091047275 0.473335740744832 0.474593499542926 0.478302276416873 0.453388455415663 0.569371030570149 0.460237574582016 0.587405112317167 0.447276320088045 0.449473820946889 0.472097834012732 0.467631372771942 0.453756851045903 0.562161204420612 0.464815309447598 0.581072723645692
"wr8519.fp916" 0.367262037270101 0.341434527753909 0.441784222012259 0.37670024689787 0.318438720847046 0.406898220557501 0.412034062496865 0.451375268749603 0.188674453013479 0.168859070106552 0.248153550598868 0.235366381635813 0.341740852016753 0.461331889490329 0.424322685361409 0.477701833152867
"qi9723.bz274" 0.470743447679158 0.460133261681636 0.481704716112921 0.419981735506368 0.46307763584681 0.583631287919791 0.448597824487907 0.533979524298464 0.381521340854352 0.337545295355246 0.41511386428766 0.325572088372335 0.468816884908063 0.573387226828704 0.45858089377816 0.528551254173837
"uh4238.rc7697" 0.432405203037783 0.391376868545082 0.384415929911448 0.363364775998543 0.438352871887024 0.464394009078361 0.383529547536105 0.438852406013922 0.375415402651568 0.295069801737628 0.324300480922401 0.279895993134793 0.369662204867872 0.372834337842992 0.327162067401342 0.349080244817998
"nj9775.hl7390" 0.545511105898402 0.451519836597356 0.505267128637067 0.4830864792774 0.483500897772425 0.597882080586089 0.440034021559201 0.612556023475949 0.528311212540418 0.417505006733917 0.494931633213016 0.435693615765123 0.480120067579138 0.613805330765963 0.437930280911369 0.628024376015563
"kc3518.hq3709" 0.532969375363703 0.530648289655773 0.539547362469928 0.527650082270512 0.45594053030601 0.571421364497018 0.446229463319339 0.552196010388718 0.487491775231173 0.457306353174374 0.534566593859115 0.466399433418299 0.482347949910939 0.586767048305994 0.488001889765586 0.592368316706614
"nw2252.gm1079" 0.512545672469255 0.486000378788074 0.508164185553419 0.486922952857938 0.486669775507728 0.581563482696739 0.451521110897544 0.586506186593534 0.515952188019229 0.469958780376921 0.522062579230012 0.4952035596267 0.507414543270178 0.592188251922898 0.475198783966778 0.602290037861054
"lf5535.kt8002" 0.571980189161401 0.541358706744003 0.506455701377559 0.50676611864717 0.491215232404564 0.612014040690856 0.402954611012788 0.581844320155897 0.56317205594143 0.49698118696256 0.495568282461847 0.4673018524179 0.466360079475283 0.59992424824295 0.395991895913718 0.585188682712221
"oa9751.jc6773" 0.558841254369805 0.495452616290289 0.551066907265896 0.511272565474617 0.393217944262316 0.462379488942386 0.348165588127072 0.462968016158727 0.530883343033261 0.450789279312595 0.539730914749672 0.486164111558578 0.524299566541512 0.569531486849334 0.495056581157131 0.591921800937797
"gt185.cs5197" 0.421375201154571 0.392707955816142 0.465773550138306 0.387801328572146 0.384515627089326 0.452728883626695 0.413357212583918 0.453803214792636 0.345685021476668 0.33066819889471 0.404953272206942 0.327654884443705 0.412202000100098 0.460344869176483 0.428818567566452 0.456666010282455
