"0bkFace.0bkFace" "0bkFace.0bkPlace" "0bkFace.2bkFace" "0bkFace.2bkPlace" "0bkPlace.0bkFace" "0bkPlace.0bkPlace" "0bkPlace.2bkFace" "0bkPlace.2bkPlace" "2bkFace.0bkFace" "2bkFace.0bkPlace" "2bkFace.2bkFace" "2bkFace.2bkPlace" "2bkPlace.0bkFace" "2bkPlace.0bkPlace" "2bkPlace.2bkFace" "2bkPlace.2bkPlace"
"bb4934.zy9688" 0.0709492617501338 0.122646788590767 0.170575908472619 0.169925427661269 0.145730383138186 0.193096283018199 0.154371948659222 0.180342989627233 0.13918250469311 0.16942704753536 0.238745861135991 0.225043983289942 0.208793713810113 0.223286121388486 0.212358684757904 0.227584561979761
"wr8519.fp916" 0.0731746757833694 -0.00137428403597372 0.157714280696113 0.162699856281065 0.127217531072774 0.033119364130195 0.152342965525671 0.159782729165899 0.0320937027774939 -0.0482854634588456 0.088780021731357 0.0598215495223182 0.119739856853395 0.0487449563267877 0.167825772548891 0.180163442357668
"qi9723.bz274" 0.0205286265751005 0.0415109453663257 -0.0230398332039724 0.0343204063483683 0.0809899145694823 0.052671882418357 0.0518080223619238 0.115271039225286 0.0984358059779085 0.00151292678058022 0.106330701929106 0.149284051371399 0.00724119655178404 -0.000447973975814284 0.127420332964086 0.0984127435180422
"uh4238.rc7697" -0.0500807077270129 0.061671896617077 0.0737663113763965 0.0721651817362964 0.0381593848920861 0.149196282061853 0.146730981890042 0.0686469352185488 0.00532071763264239 0.131683929949181 0.21945318878339 0.142495762455506 0.0494691497981325 0.131335184311679 0.137328565832359 0.0889695649693625
"nj9775.hl7390" 0.141900967741727 0.197018777190304 0.118164072521666 0.166365297918216 0.142021190834399 0.235793473448812 0.14692414397853 0.197262860748872 0.211440276873968 0.289764352988498 0.211660755783619 0.288387924450098 0.2491800453827 0.329541496255899 0.231924485023462 0.324953158108087
"kc3518.hq3709" 0.102530632365412 0.206355192625912 0.249749882903182 0.260135583996013 0.146872711927159 0.135540145275473 0.0917823246126771 0.0760221738901441 0.0982738037358939 0.190292358266746 0.325836692859049 0.323159664826458 0.160369032485661 0.232765130492888 0.375272035097913 0.396273570504673
"nw2252.gm1079" 0.212882591149837 0.228399572403278 0.275205511611428 0.256706369884155 0.110477083180592 0.111246483928924 0.186221107700516 0.210599972223199 0.17204374106642 0.148722733376449 0.269799571339032 0.256842927917998 0.163837205526252 0.142860357326749 0.237560779818569 0.232516647381234
"lf5535.kt8002" 0.121703835028308 0.0539329065433529 0.0581983650466923 0.0648359597700436 0.0867882940193118 0.0555598209330534 0.031554798094656 0.079204224224593 0.210877465850105 0.0829168168338576 0.156003891150181 0.202666448486019 0.136505524024565 0.0028304531124797 0.0713841173552815 0.126923489693847
"oa9751.jc6773" 0.115135037297397 0.103684669201559 0.0751467785157047 0.135671477631017 0.0988493844652789 0.0345711355869053 -0.0153671435269063 -9.10835227050755e-05 0.255998935129708 0.154798104896119 0.254684802489555 0.232272562877987 0.306471007734438 0.243540925317405 0.305655026313175 0.309148683703435
"gt185.cs5197" 0.0253271831750629 0.0956807680836945 0.10270405101976 0.0679092540553471 0.0638702671044435 0.13407789394122 0.116273241862686 0.161996164716537 0.0949010161734319 0.162514669150725 0.225761821345096 0.211135129550573 0.0475316675604591 0.191046255166546 0.205990643225812 0.216800168036025
"pb1903.dt1372" 0.202775715712035 0.253996220341275 0.176836349031064 0.228349520974805 0.150981982295731 0.221186206949933 0.108462906772604 0.202367739867849 0.325602912979808 0.361572116545512 0.309384068716128 0.391334606256889 0.271020061236075 0.309873315531179 0.274061680676675 0.361500945237941
"pb8936.tb4452" 0.166200053462954 0.284669878056583 0.273914454926706 0.287747309380309 0.187218709880637 0.316837478684824 0.278856160220612 0.31386130885544 0.0426983881773478 0.0888390530582356 0.172300169505031 0.17534878768377 0.0739058153359697 0.141661732969955 0.177326958681629 0.186548205099858
"ng3506.kk7321" 0.296917682784294 0.185181968773897 0.288088861109938 0.287647469979504 0.195184140780023 0.153050903273264 0.181906971663559 0.209265307731906 0.22569606849664 0.196413627648672 0.217505246618307 0.238031211530079 0.266684480197999 0.25164352129051 0.291269587715526 0.279095823417582
"ix4227.kq2702" 0.231398833493728 0.212204458935571 0.215201062016061 0.26828179438809 0.277351736666444 0.287026840608949 0.275171228166851 0.268534002024238 0.195278403144383 0.201486007342269 0.227430256679081 0.225778964818363 0.257086811963506 0.217372394415259 0.269637475472437 0.257149037218322
"vn7650.mp3370" 0.234111267145335 0.231477156428592 0.278971457018136 0.133434645948929 0.205147700467018 0.253383455655542 0.266602205299137 0.20946039260054 0.236221240665612 0.213488169056744 0.256154394935352 0.202682622912788 0.226132910730844 0.240270452489887 0.262749774676455 0.196666777214296
"su3645.la196" 0.108516303065431 0.162493317695515 0.118266212409633 0.147617361405267 0.0445494982330441 0.0886006634944676 0.0906180097113259 0.0629791253591239 0.151996701146145 0.242608870486025 0.212743624471131 0.228444049891951 0.150518739614232 0.24471493444295 0.167753292126762 0.219239886167428
"nx8660.rm5865" 0.208657683409944 0.146939211177499 0.17223877558751 0.134250303250875 0.211338536482124 0.186824121266907 0.250290844054354 0.250216996085466 0.177027957622215 0.12750823641851 0.260177277921411 0.284448419150039 0.19540160514165 0.137065936050832 0.26216655871874 0.293565363783525
"rm8505.qs9711" 0.115710182899276 0.118773147977249 0.047677305343249 0.151888717702854 0.112911168055259 0.167110416244956 0.0882495380110308 0.214535659284242 0.121388442936592 0.123656988323743 0.0306570567302624 0.161304090731252 0.0741492009634166 0.0627789568031983 0.0206409913787246 0.132354743662102
"qd3657.tq2115" 0.0507751555863743 0.0714884077627933 0.0469076036735489 -0.00272368334204271 -0.105749328109055 0.00504267551498351 0.00195039693324876 -0.118383383205627 -0.102080161891807 0.0135258531199694 0.179455302409404 0.0403951743638599 -0.106013693224734 0.00178808891897006 0.155365365034564 0.0320292821702235
"fd2525.sm1241" 0.101123649283913 0.109781216424942 0.137837309716027 0.0344307287049884 0.102764785668236 0.143510878175166 0.12354541382445 0.168242710258921 0.0897171986485996 0.104416658915238 0.153564679870585 0.169929619272545 0.0987750751113311 0.170445473653828 0.149710124439248 0.149207312567836
"ca5018.ba2743" 0.292015726790522 0.302245928891897 0.22101117579091 0.187360903130963 0.295045116564354 0.342113419649721 0.242513283783302 0.213361271516154 0.240179191359572 0.293004033128509 0.355068088767853 0.337263386071129 0.333702736780249 0.357390956198654 0.368887308172739 0.331089251675168
"jd1964.hw3664" 0.0197911727686478 0.053413316344013 0.0806720785514803 0.0636934609176327 -0.00625302248466067 0.034308661272693 0.0458674926875999 0.0725491110716679 0.00584264131730419 0.0476662522291021 0.0577129810802329 0.0574360769997509 -0.0563284225780926 0.0946773149407227 0.050286698982666 -0.0102145650167103
"wi5744.ry6595" 0.181734949467085 0.271190688248994 0.179316453380832 0.275232415968246 0.169254133925618 0.325377414855873 0.198291052196751 0.245481546106003 0.184549375024302 0.257008257705282 0.207953495117803 0.242477690186672 0.0819966040317626 0.260214269509882 0.183803231311053 0.229802831335037
"fr2578.dq5352" 0.165018863837697 0.0328821183801394 0.154462760300247 0.202718578146924 0.227051804160042 0.0889917504679632 0.176099034887775 0.253756858858079 0.273820145614672 0.11297074743526 0.244397121564003 0.297091826466044 0.214143205088079 0.0776500772970121 0.24874559099235 0.288071754951937
"ns7330.li2052" 0.165222133234262 0.132391854489068 0.00777209516855572 -0.0263069454765867 0.154936605016929 0.112804635750507 0.0649068952241792 0.0310087128199225 0.119644100804837 0.147861147456575 0.0611457565292287 0.0228688186292666 0.0551240168825061 0.0882870439794684 0.0506975315116458 0.022013472065292
